explanation,text
The Georgian soldier and antiquarian    Francis Grose (1731-1791) wasn't cut from the usual cloth of which lexicographers are made. ,Grose -  Captain Francis  - phrases first recorded by.
Grub Street was a pejorative name for the residence of a class of hack writers and pamphleteers in the Moorfields district of London in the 17th century. Latterly it has been used as a generic term of disparagement for hack journalism.,Grub Street
"Don't waste your time looking for the mythical 'third word ending in GRY'. If you have come here looking for it, read the explanation
below and relax - you can stop searching. The story goes like this:",Gry - Words ending in
A person or animal who is used as the subject of an experiment.,Guinea pig
Zealous and eager.,Gung ho
"Smartened up, in a showy or garish way.",Gussied-up
"To threaten to 'have someone's guts for garters' is to state the intention to do them serious harm. The threat isn't an actual and literal one and the overstatement of reprisal is meant to indicate humour, but with an indication that the threatened person has done something which has been something of an annoyance.",Guts for garters
"The hair of the dog is a small measure of drink, intended to cure a hangover. ",Hair of the dog that bit you
A glance made with partially lowered eyelashes. This usually indicates suspicion or hostility but may signal other emotions too. ,Hairy eyeball
"Calm, peaceful days.",Halcyon days
"Something, even if it isn't what you ideally would prefer, is better than nothing.",Half a loaf is better than no bread
Speak or act prematurely.,Half-cocked
Having one's intentions divided; not fully committed; lacking zeal or courage.,Half-hearted
Pinch (steal).,Half inch
Quickly and continuously.,Hand over fist
"'Handbags at ten paces', sometimes shortened just to 'handbags', is a comic reference to a confrontation which is histrionic but which doesn't involve physical violence. Such confrontations are also called handbag situations. ",Handbags at ten paces
"Handle a situation, or a person or  an object,  delicately and gingerly.",Handle with kid gloves
"Win easily, with little effort.",Hands down
"A gruesome form of torture and, eventually, death by execution.","Hanged, drawn and quartered"
"Trickery - double dealing. Also, more recently, sexual shenanigans.",Hanky-panky
Very happy and content.,Happy as a clam
Very happy and content.,Happy as a sandboy
"Very
happy.",Happy as Larry
"A disparaging name for the form of Christian religious observance which is informal, musical and spontaneous.",Happy clappy
"Unprovoked attacks on individuals made in order to record the event, and especially the victim's shock and surprise, on video phones.",Happy slapping
"'Happily ever after' or 'Happy ever after' are typically  used as a formulaic  ending to a fairy tale or children's story, or in romantic novels to describe wedded bliss. ",Happily ever after
"A harbinger of doom is a sign, a warning of bad things to come.",Harbinger of doom
Rigidly adhered to - without doubt or debate.,Hard and fast
"'Hard', that is, exceptional, legal cases aren't suitable as the source of generalised laws.",Hard cases make bad law
Hard luck.,Hard cheese 
Lacking mercy; incapable of pity.,Hard hearted
Bad luck.,Hard lines
"A risqu̩ comic play
on words on a good man is hard to find.",Hard man is good to find - A 
"In Shakespeare's Cymbeline, Cloten uses lewd language to talk about Cymbeline. In an attempt to use musicians to court her, he calls on them to play 'a wonderful sweet air'. The hark, hark!... line is chosen to represent sweetness and refinement, as a counterpoint to the previous crudities.","Hark, hark! the lark at heaven's gate sings"
To speak repeatedly and boringly about a topic.,Harp on
'Harum-scarum' behaviour is that which is reckless and carelessly wild.,Harum-scarum
The  full moon  closest to the autumn equinox.,Harvest moon
'Has the cat got your tongue' is a light-hearted question addressed to someone who is inexplicably silent.,Has the cat got your tongue?
'Hasta la vista' translates from the Spanish as 'see you later'.,"Hasta la vista, baby"
Rushing into a decision may cause mistakes that waste more time than would have been taken by proceeding more carefully.,Haste makes waste
"A series of three consecutive successes, in sport or some other area of activity.",Hat trick
Have a look.,Have a Captain Cook
Have a look.,Have a dekko
"To have an axe to grind is to have a dispute to take up with someone or, to have an ulterior motive; to have private ends to serve.",Have an axe to grind
Have a vague intimation of; have a slight knowledge of.,Have an inkling
To reject or to have nothing to do with.,Have no truck with
Without any knowledge or understanding. ,Haven't got a clue
"To threaten to 'have someone's guts for garters' is to state the intention to do them serious harm. The threat isn't an actual and literal one and the overstatement of reprisal is meant to indicate humour, but with an indication that the threatened person has done something which has been something of an annoyance.",Have your guts for garters
To have your work cut out is to be faced with a lengthy or difficult task.,Have your work cut out 
"A criticism of the teaching profession, portraying it as second best. ","He who can, does; he who cannot, teaches"
See also: the List of Proverbs.,He who laughs last laughs longest
"This proverbial saying suggests that, if you have dealings with wicked people you should be cautious and distance yourself from them, or else you may be corrupted into their evil ways.",He who sups with the devil should have a long spoon
"Literally, pay the devil what you owe him. Used figuratively to mean 'give back what you owe', either money or favours. ",He will give the Devil his due
To be 'head over heels' is to be very excited. In a literal sense the expression also refers to turning cartwheels to demonstrate one's excitement.,Head over heels
This little phrase has several meanings - an advance warning - being wide awake and alert - being the head of - a type is display screen. ,Heads up
The expression 'heads will roll' is the promise or prediction that  people responsible for some failure or disaster will be dismissed or otherwise held to account. ,Heads will roll
A shout of acclamation or agreement.,Hear hear
An indication that a piece of information was obtained via an informal contact.,Heard it through the grapevine
To one's (or your) heart's content means to one's complete inner satisfaction - until one's heart is content. ,Heart's content
A mild exclamation of surprise. ,Heavens to Betsy
"A stylised exclamation of surprise, similar to 'Heavens to Betsy'.",Heavens to Murgatroyd
"Hard
  rock music, usually electric guitar-based and always loud.",Heavy metal
