company,slogan
"KW Pilates, classes in Waterloo",Building strength and flexibility from within.
I was told by a private or secret source. ,Little bird told me - A 
Literal meaning (house meaning household).,House divided against itself cannot stand - A 
British Airways,The world's favourite airline.
"Anglia, brand of free range eggs",Anglia. Better for everyone.
Coldicott Veterinary Clinic in Tewkesbury,We take the worry out of caring.
Tonics Fitness Centre in Sittingbourne,Real people. Real results.
"Pertaining to, or having an interest in, the arts - often pretentiously and affectedly so. ",Arty-farty
Boar's Head cheese brand,Boar's Head has cheese. Pass it on.
Zulu Tattoo Shop in Los Angeles,Welcome to the tribe.
AXA Insurance Company,Be life confident.
Kelly's of Cornwall ice cream,Simple pleasure.
"All Car Rent-a-Car, New York car rental company",Flexible. Accessible. Affordable.
"The View Grill & Bar in LaCrosse, Wisconsin",Just view it!
"Hooters, fast food restaurants","Delightfully tacky, yet unrefined."
Good Sam or Good Samaritan Hospice in Roanoke,Good Sam. For good reasons.
Toshiba brand,In Touch With Tomorrow
"Meat and drink in this phrase has two meanings, which appear to be independent of each other.
 Either, to be a source of support or pleasure or, to be a simple and routine matter.",It is meat and drink to me
Eric Brantner Copywriting,Turning conversations into conversions.
"Glen Jung, classical homeopath in Toronto",Gently stimulating your body's natural healing power.
"Borgata Nail Salon in Houston, TX",Be bold! Be beautiful! Be Borgata.
Dodge car brand,Dodge. Grab Life by the Horns.
Acqua Morelli mineral water from Italy,Tracing treasures: blue gold.
"Cracker Barrel, cheddar cheese",Deliciously different cheddar.
"A colloquial version of 'goodbye', now rather archaic. ",Toodle-oo
"Dapper Dog in Mission, Texas",Your preferred dog groomer.
The University of Georgia School of Law,A distinguished past and a bold future.
"Gas brand, jeans and clothing",Gas. Keep it Simple.
Janssen (earlier - Janssen-Cilag),We care for your health.
Levi's Jeans (brand of Levi Strauss & Co),Have you ever had a bad time in Levi's?
Virgin Atlantic Airways,No ordinary airline
Clairol Herbal Essences Nourishing Palm,Rock your senses.
"Boxcar Studio, website design and development services",Inspiring web.
Woodward Printing Services,Exceeding expectations.
Budweiser Beer,The Genuine Article.
Western Libraries at Western Washington University,"Western Libraries connects - people to people, people to place, people to learning."
"Trickery or deception, often in a political context. ",Smoke and mirrors
Wisdom Toothbrushes,Completely dental about brushes.
The pond refers to the North Atlantic Ocean. Going across the pond refers to travel  between Europe (especially the UK) and the Americas (especially the USA).,Across the pond
Midwest Roofing Company in Lake Villa,Competing to be the best.
"Servis Tyres, Pakistan",Move with the best.
"Ciro, brand of coffee in South Africa",Ciro. Taste the freshness.
Shri Ladies Hostel in Chennai,Feel like home.
CUNY School of Law,Law in the service of human needs.
Dremel Stylus Lithium Ion rotary tool,Dremel Stylus. Precision redefined.
Sure Deo Wipes,What are you doing tonight?
A notional mark of achievement or kudos for performing some creditable act.,Brownie points
Pete's Pet Emporium,For pet's sake!
"Panerai watches, Italy",Panerai. Where ideas come to life.
"Goodwill Fitness Center in Santa Ana, CA",Rise to the challenge.
"Clarks Shoes, England",Be your own label
"Honeysuckle Dental in Newcastle, Australia",The sweet experience.
'The pot calling the kettle black' is a response often given when someone  criticises  another for a fault they also  have themselves.,Pot calling the kettle black - The 
Vision Express Opticians in England,The one hour optical lab.
Language Masters,A new way to spell SUCCESS in all the world's languages.
"TAG Heuer, luxury swiss watches",Success. It's a mind game
"Ski Sundown in New Hartford, Connecticut",My kind of mountain.
Newgate Communications,Cut through convention.
"Cedars-Sinai, hospital and research institution in Los Angeles",Leading the quest for health.
"Absa bank, South Africa",ABSA. Today. Tomorrow. Together
Keller’s butter,Making good things better since 1906.
Synergy Dental Clinics in England,Dedicated to excellence.
Very cold.,As cold as any stone
"H2O Maxi Sydney water taxis, Australia",Sydney's biggest and best water taxis.
Phyllis Tuckwell Hospice in Farnham,Because every day is precious.
"Herald newspaper, Everett, Washington, USA","Herald. If It Matters To You, It Matters To Us"
"Dublin Bus, public transport operator in Ireland",Serving the entire community.
Boomerang PR Agency in Manchester,Connect with those who matter.
"Lovely Layers Cakery in Chico, California, specializes in custom wedding cakes, cupcakes and cookies",Perfection by confection.
"Erskine Hospital, care for veterans of the British Armed Forces",Proud to care.
"Figurehead Hair Salon, Airlie Beach",Eco friendly salon on the beach.
"Having a passionate nature, or being inclined to quick temper.",Hot-blooded
A proverb expressing the idea that forgiveness is a worthy response to human failings.  ,To err is human; to forgive divine
Beefeater London Dry Gin,Make it a double.
"Hoveround, power wheelchairs and mobility scooters",Personal mobility solutions.
Connoisseur gourmet ice cream in Australia,Connoisseur. The thrill of the taste.
"Aviva, British insurance company",Taking care of what's important.
"Gerald R. Ford International Airport, Michigan",Your grand entrance to West Michigan.
"Evolution Auto, used car dealer in Florida",Driven to exceed expectations.
Make the most of one's opportunities while you have the chance.,Make hay while the sun shines
RKB Studios,A graphic design studio with you in mind.
An inferior isn't completely restricted in what they may do in the presence of a superior. ,Cat may look at a king - A 
KOOL menthol cigarette brand,"Mild, but not too light (for KOOL Mild)"
"Muir Glen brand, tomatoes, pasta and tomato sauces, ketchup",Muir Glen… tomatoes true to nature.
Kuschall wheelchairs,Kuschall. Designed for life.
Blue Band margarine,Fried food tastes good.
"Perrier, French brand of sparkling mineral water",Perrier. The ultimate refreshment.
Crest Advanced Formula,The most a toothpaste can do.
"A
state of sheltered and unworldly intellectual isolation.",Ivory tower
Brittany Ferries,Curiosity. It can lead you anywhere.
IIT Chicago-Kent College of Law,Taking today's students where the law is going.
In a quandary or some other difficult position.,In a pickle
Crown Paint in England,Make your home your own.
Real London Bus Company in Arizona,Arizona's biggest party bus!
"The Student Tutoring Network, where students for a fee teach other students",Helping students help themselves.
Various ranges of Magnum ice-cream,Magnum Double. Now you'll love it twice as much.
"Boots, pharmacy chain in the UK and Ireland",The right chemistry.
"Moving Things Design Company, Philippines",Always in motion.
Vital Farms pasture-raised eggs,The happiest hens in the world.
Ilulissat Water Taxi in Greenland,Your dream taxi.
Miller Beer,"No matter what what's-his-name says, I'm the prettiest and Lite's the greatest."
NOS Energy Drink,No nonsense energy for the gym.
Borders,Stay a while.
Viactiv Calcium and Multi-Vitamin Chews,Be sweet to your bones
"Lulu shopping mall in Kochi, India",World of happiness.
A general term of abuse for a man. ,Son of a *****
DPK Graphic Design,A passion and eye for design.
"Cup to Cup Coffee Roasters in Savannah, GA",Where one cup leads to another.
Spelman College in Atlanta,A choice to change the world.
"GFM, promotional and marketing services",A continuous line of communication.
Macleans Flex Top Toothbrush,"Hugs your teeth, loves your gums."
"Everyone is preyed up[on by someone, who in turn has someone preying on them.",Big fleas have little fleas upon their back to bite 'em
"In a carefree, stylish manner.","High, wide and handsome"
Jew. ,Four by two
MRI Flexible Packaging Company,Turning bright ideas into brilliant labels.
Engelbert Strauss Workwear,Enjoy work.
Bath Marketing Consultancy,Tailored marketing solutions for your business.
Casa Yallaha Hostel in St. Augustine,Stay with friends!
Absolutely black.,Jet-black
Bristol Street Motors,You know where we are!
US Mortgage Corporation,Helping you make it home.
Anita's Beauty Centre in Milton Keynes,Helping you look good.
"Ranbaxy Laboratories, Indian pharmaceutical company",Ranbaxy. Trusted medicines. Healthier lives.
Captain Morgan's / Parrot Bay coconut rum,The Parrot is Calling.
Aline Ayoub HR Consulting,Perfect employee. First time.
Cologne Bonn Airport,So simple.
Febreze Air Fresheners & Odor Eliminating Products,Discover the freshness from Febreze.
Spectrum Speech Pathology,Opening the world of communication.
"Sonic, American drive-in fast-food restaurants",Service with the speed of sound.
Rembrandt 2 Hour Whitening Kit,White tonight.
"Bridgestone Dueler, tire range",First you drive it. Then it drives you.
"Place a bet on all the horses in a race, except one.",Back the field
 Satisfactory; fine.,Hunky-dory
Sias Tuning,A trusted and reputable name in tuning.
Sante Chiropractic in Ottawa,Where healthy people go.
"Poof
(homosexual).",Iron hoof
"Diamond Tours, bus tour company",Bringing group travel to a higher standard.
